"Date","Price","Open","High","Low","Vol.","Change %"
"27/05/2022","1,724.30","1,793.19","1,820.82","1,708.62","1.57M","-3.85%"
"28/05/2022","1,792.68","1,724.67","1,807.79","1,722.88","658.23K","3.97%"
"29/05/2022","1,813.56","1,792.25","1,824.81","1,764.72","554.58K","1.16%"
"30/05/2022","1,998.46","1,813.56","2,009.95","1,804.33","1.04M","10.20%"
"31/05/2022","1,941.79","1,998.46","2,015.02","1,928.93","933.24K","-2.84%"
"01/06/2022","1,818.07","1,941.81","1,971.22","1,770.85","1.29M","-6.37%"
"02/06/2022","1,834.64","1,817.98","1,851.25","1,784.23","975.53K","0.91%"
"03/06/2022","1,775.29","1,834.66","1,843.31","1,740.83","884.53K","-3.24%"
"04/06/2022","1,804.37","1,775.28","1,815.19","1,748.89","442.10K","1.64%"
"05/06/2022","1,806.71","1,804.60","1,829.25","1,773.65","437.73K","0.13%"
"06/06/2022","1,859.99","1,806.11","1,919.40","1,804.77","939.37K","2.95%"
"07/06/2022","1,813.72","1,859.99","1,870.99","1,727.77","1.64M","-2.49%"
"08/06/2022","1,793.00","1,813.05","1,837.41","1,766.94","1.09M","-1.14%"
"09/06/2022","1,788.06","1,792.81","1,832.70","1,778.00","625.76K","-0.28%"
"10/06/2022","1,663.02","1,788.15","1,803.54","1,657.30","1.13M","-6.99%"
"11/06/2022","1,531.42","1,663.04","1,681.58","1,503.15","1.44M","-7.91%"
"12/06/2022","1,435.46","1,531.50","1,542.01","1,430.93","1.82M","-6.27%"
"13/06/2022","1,206.67","1,434.43","1,454.07","1,168.68","4.39M","-15.94%"
"14/06/2022","1,210.84","1,206.67","1,261.39","1,078.11","3.27M","0.35%"
"15/06/2022","1,237.92","1,208.82","1,244.80","1,016.99","3.73M","2.24%"
"16/06/2022","1,068.49","1,237.92","1,254.28","1,052.65","1.76M","-13.69%"
"17/06/2022","1,086.47","1,068.49","1,116.46","1,052.17","1.45M","1.68%"
"18/06/2022","995.61","1,086.47","1,096.93","883.35","2.77M","-8.36%"
"19/06/2022","1,128.39","995.49","1,152.07","938.24","2.42M","13.34%"
"20/06/2022","1,128.32","1,128.39","1,165.62","1,056.58","2.04M","-0.01%"
"21/06/2022","1,125.96","1,128.29","1,192.27","1,110.63","1.60M","-0.21%"
"22/06/2022","1,049.02","1,125.96","1,127.06","1,045.37","1.58M","-6.83%"
"23/06/2022","1,144.19","1,049.02","1,152.97","1,046.57","1.57M","9.07%"
"24/06/2022","1,225.03","1,144.33","1,244.82","1,132.87","1.66M","7.07%"
"25/06/2022","1,241.76","1,224.96","1,255.55","1,181.11","1.03M","1.37%"
"26/06/2022","1,198.03","1,241.80","1,276.81","1,196.20","1.13M","-3.52%"
"27/06/2022","1,190.84","1,198.03","1,237.14","1,176.77","1.07M","-0.60%"
"28/06/2022","1,143.97","1,191.02","1,234.96","1,137.57","1.32M","-3.94%"
"29/06/2022","1,099.51","1,143.95","1,155.02","1,088.10","1.54M","-3.89%"
"30/06/2022","1,069.05","1,099.51","1,105.88","1,000.77","1.71M","-2.77%"
"01/07/2022","1,058.94","1,069.13","1,110.25","1,035.79","1.89M","-0.95%"
"02/07/2022","1,066.60","1,059.05","1,077.66","1,029.03","865.06K","0.72%"
"03/07/2022","1,074.08","1,066.60","1,086.90","1,041.82","755.27K","0.70%"
"04/07/2022","1,151.19","1,074.07","1,159.76","1,045.97","1.35M","7.18%"
"05/07/2022","1,133.90","1,151.19","1,170.97","1,079.36","1.59M","-1.50%"
"06/07/2022","1,186.45","1,133.87","1,202.09","1,112.02","1.42M","4.63%"
"07/07/2022","1,238.15","1,186.48","1,252.69","1,163.85","1.18M","4.36%"
"08/07/2022","1,216.33","1,238.10","1,275.69","1,194.15","1.45M","-1.76%"
"09/07/2022","1,216.94","1,216.26","1,232.69","1,205.26","644.47K","0.05%"
"10/07/2022","1,167.35","1,216.94","1,219.26","1,155.25","1.12M","-4.07%"
"11/07/2022","1,096.43","1,167.35","1,170.63","1,093.28","1.34M","-6.08%"
"12/07/2022","1,038.56","1,096.41","1,097.75","1,035.82","1.49M","-5.28%"
"13/07/2022","1,115.83","1,038.60","1,116.51","1,012.29","2.48M","7.44%"
